director_name,movie_title,actor_1_name,actor_2_name,actor_3_name,genres
John Fortenberry,a night at the roxbury,Will Ferrell,Chris Kattan,Dan Hedaya,Comedy Music Romance
Daniel Barnz,beastly,Alex Pettyfer,Mary-Kate Olsen,Erik Knudsen,Drama Fantasy Romance
Alexandre Aja,the hills have eyes,Dan Byrd,Greg Nicotero,Vinessa Shaw,Horror
Sam Weisman,dickie roberts: former child star,Kevin Grevioux,Jenna Boyd,Mary McCormack,Comedy
Niki Caro,"mcfarland, usa",Morgan Saylor,Valente Rodriguez,Diana Maria Riva,Biography Drama Sport
Erik White,lottery ticket,Brandon T. Jackson,Loretta Devine,Shad Moss,Comedy
Chris Robinson,atl,T.I.,Adam Boyer,Malika,Comedy Crime Drama Music Romance
Jason Moore,pitch perfect,Anna Kendrick,Hana Mae Lee,Ben Platt,Comedy Music Romance
Michael Tollin,summer catch,Marc Blucas,Brian Dennehy,Bruce Davison,Comedy Drama Romance Sport
Sam Raimi,a simple plan,Gary Cole,Bridget Fonda,Chelcie Ross,Crime Drama Thriller
Robert Harmon,they,Alexander Gould,Ethan Embry,Marc Blucas,Horror Mystery Thriller
Trent Cooper,larry the cable guy: health inspector,Thomas F. Wilson,Larry the Cable Guy,Megyn Price,Comedy Romance
Gary Halvorson,the adventures of elmo in grouchland,Vanessa Williams,Kevin Clash,Caroll Spinney,Adventure Comedy Family Fantasy Musical
Antoine Fuqua,brooklyn's finest,Don Cheadle,Lili Taylor,Armando Riesco,Crime Drama Thriller
Nicholas Ray,55 days at peking,Ava Gardner,David Niven,John Ireland,Action Adventure Drama History War
Fede Alvarez,evil dead,Lou Taylor Pucci,Elizabeth Blackmore,Ellen Sandweiss,Horror
Donald Petrie,my life in ruins,Nia Vardalos,Harland Williams,Rachel Dratch,Comedy Romance
Paul Weitz,american dreamz,Judy Greer,Dennis Quaid,Chris Klein,Comedy Music
Sidney J. Furie,superman iv: the quest for peace,Jim Broadbent,Margot Kidder,William Hootkins,Action Adventure Family Sci-Fi
Ian Iqbal Rashid,how she move,DeRay Davis,Clé Bennett,Conrad Coates,Drama
Wayne Kramer,running scared,Paul Walker,Chazz Palminteri,Ivana Milicevic,Action Crime Drama Thriller
Rowdy Herrington,bobby jones: stroke of genius,Aidan Quinn,Jeremy Northam,Paul Freeman,Biography Drama Romance Sport
Jim Goddard,shanghai surprise,Victor Wong,Paul Freeman,Clyde Kusatsu,Adventure Crime Drama Romance
Neil Burger,the illusionist,Rufus Sewell,Eddie Marsan,Jake Wood,Drama Mystery Romance Thriller
Noel Marshall,roar,Tippi Hedren,Melanie Griffith,Zakes Mokae,Adventure Horror Thriller
Joel Schumacher,veronica guerin,Brenda Fricker,David Murray,Gerard McSorley,Biography Crime Drama Thriller
Andrea Di Stefano,escobar: paradise lost,Josh Hutcherson,Brady Corbet,Carlos Bardem,Crime Drama Romance Thriller
Richard Kelly,southland tales,Janeane Garofalo,Curtis Armstrong,Chris Andrew Ciulla,Comedy Mystery Sci-Fi Thriller
Guillaume Ivernel,dragon hunters,Rob Paulsen,Jess Harnell,Mary Mouser,Adventure Animation Family Fantasy
Jack Smight,damnation alley,George Peppard,Jan-Michael Vincent,Paul Winfield,Sci-Fi
Todd Lincoln,the apparition,Julianna Guill,Rick Gomez,Tim Williams,Horror Thriller
Howard Zieff,my girl,Macaulay Culkin,Jamie Lee Curtis,Griffin Dunne,Comedy Drama Family Romance
Steven Shainberg,fur: an imaginary portrait of diane arbus,Robert Downey Jr.,Ty Burrell,Matt Servitto,Biography Drama Romance
Neil Burger,the illusionist,Rufus Sewell,Eddie Marsan,Jake Wood,Drama Mystery Romance Thriller
Oliver Stone,wall street,Hal Holbrook,Tamara Tunie,James Karen,Crime Drama
Ang Lee,sense and sensibility,Alan Rickman,Kate Winslet,Tom Wilkinson,Drama Romance
Julian Jarrold,becoming jane,Anne Hathaway,Julie Walters,Laurence Fox,Biography Drama Romance
Joe Nussbaum,sydney white,Danny Strong,Matt Long,Samm Levine,Comedy Romance
Vadim Perelman,house of sand and fog,Frances Fisher,Kim Dickens,Ron Eldard,Drama
Peter Weir,dead poets society,Robin Williams,Josh Charles,Kurtwood Smith,Comedy Drama
Peter Farrelly,dumb & dumber,Lauren Holly,Mike Starr,Teri Garr,Comedy
Rob Reiner,when harry met sally...,Bruno Kirby,Gretchen Palmer,Harley Jane Kozak,Comedy Drama Romance
Sidney Lumet,the verdict,Charlotte Rampling,James Mason,Jack Warden,Drama
Todd Phillips,road trip,Ethan Suplee,Rachel Blanchard,Paulo Costanzo,Comedy
Brian Robbins,varsity blues,Paul Walker,Ron Lester,Mark Walters,Comedy Drama Romance Sport
Michel Hazanavicius,the artist,Bérénice Bejo,Ed Lauter,Beth Grant,Comedy Drama Romance
David S. Goyer,the unborn,Gary Oldman,Atticus Shaffer,Rachel Brosnahan,Drama Fantasy Horror Mystery Thriller
Wes Anderson,moonrise kingdom,Bruce Willis,Bill Murray,Bob Balaban,Adventure Comedy Drama Romance
Jonathan Liebesman,the texas chainsaw massacre: the beginning,Matt Bomer,Jordana Brewster,Lew Temple,Horror
Cyrus Nowrasteh,the young messiah,Clive Russell,Vincent Walsh,Finn Ireland,Drama
Perry Andelin Blake,the master of disguise,Jennifer Esposito,Kenan Thompson,James Brolin,Comedy Family
Guillermo del Toro,pan's labyrinth,Ivana Baquero,Maribel Verdú,Sergi López,Drama Fantasy War
unknown,the messengers            ,Joel Courtney,Jessika Van,Riley Smith,Drama Fantasy Mystery Thriller
John Whitesell,see spot run,Leslie Bibb,Angus T. Jones,Paul Sorvino,Action Comedy Crime Family
John Singleton,baby boy,Mo'Nique,Snoop Dogg,Angell Conwell,Crime Drama Romance Thriller
Christian E. Christiansen,the roommate,Leighton Meester,Danneel Ackles,Frances Fisher,Drama Horror Thriller
Dennie Gordon,joe dirt,Brittany Daniel,Erik Per Sullivan,Fred Ward,Adventure Comedy Drama
Sheldon Lettich,double impact,Bolo Yeung,Alonna Shaw,Kamel Krifa,Action Crime
Edgar Wright,hot fuzz,Bill Bailey,Joe Cornish,Billie Whitelaw,Action Comedy Mystery
Diane English,the women,Jada Pinkett Smith,Debi Mazar,Debra Messing,Comedy Drama
Woody Allen,vicky cristina barcelona,Scarlett Johansson,Kevin Dunn,Christopher Evan Welch,Drama Romance
Peter Flinth,arn: the knight templar,Gustaf Skarsgård,Michael Nyqvist,Vincent Perez,Action Adventure Drama Romance War
Jon Lucas,bad moms,Mila Kunis,Jay Hernandez,Jada Pinkett Smith,Comedy
Robert Iscove,boys and girls,Alyson Hannigan,Amanda Detmer,Tsianina Joelson,Comedy Drama Romance
Peter Kosminsky,white oleander,Patrick Fugit,Cole Hauser,Marc Donato,Drama
Karyn Kusama,jennifer's body,J.K. Simmons,Amy Sedaris,Cynthia Stevenson,Comedy Fantasy Horror
Nick Gomez,drowning mona,Will Ferrell,Jamie Lee Curtis,Tracey Walter,Comedy Crime Mystery
Woody Allen,radio days,Mike Starr,Don Pardo,Julie Kavner,Comedy
Vic Armstrong,left behind,Nicolas Cage,Lea Thompson,Quinton Aaron,Action Drama Fantasy Mystery Thriller
Allen Coulter,remember me,Robert Pattinson,Lena Olin,Ruby Jerins,Drama Romance
Clare Kilner,how to deal,Dylan Baker,Alexandra Holden,Trent Ford,Comedy Drama Romance
Richard Benjamin,my stepmother is an alien,Jon Lovitz,Alyson Hannigan,Tony Jay,Comedy Romance Sci-Fi
Jonathan Demme,philadelphia,Denzel Washington,Tom Hanks,Jason Robards,Drama
Josef Rusnak,the thirteenth floor,Gretchen Mol,Craig Bierko,Brad William Henke,Mystery Sci-Fi Thriller
Lance Rivera,the cookout,Farrah Fawcett,Vincent Pastore,Jenifer Lewis,Comedy
Ronald Neame,meteor,Martin Landau,Karl Malden,Brian Keith,Action Drama Sci-Fi Thriller
Bruce Paltrow,duets,Lochlyn Munro,Marian Seldes,Huey Lewis,Comedy Drama Music
Woody Allen,hollywood ending,Woody Allen,Debra Messing,Treat Williams,Comedy Romance
Adam Rifkin,detroit rock city,Natasha Lyonne,Lin Shaye,Shannon Tweed,Comedy Music
Russell Mulcahy,highlander,Christopher Lambert,Jon Polito,Celia Imrie,Action Adventure Fantasy
Susanne Bier,things we lost in the fire,Alison Lohman,Omar Benson Miller,Robin Weigert,Drama
Kenneth Johnson,steel,Charles Napier,Annabeth Gish,Hill Harper,Action Crime Sci-Fi
James Gray,the immigrant,Jeremy Renner,Dagmara Dominczyk,Angela Sarafyan,Drama Romance
James Ivory,the white countess,Vanessa Redgrave,Natasha Richardson,Lynn Redgrave,Drama History Romance War
Danny Boyle,trance,Rosario Dawson,Spencer Wilding,Tuppence Middleton,Crime Drama Mystery Thriller
Jessy Terrero,soul plane,Mo'Nique,Snoop Dogg,Tom Arnold,Comedy
Dany Boon,welcome to the sticks,Dany Boon,Kad Merad,Michel Galabru,Comedy Romance
Vicente Amorim,good,Viggo Mortensen,Jodie Whittaker,Steven Mackintosh,Drama Romance War
Gaspar Noé,enter the void,Paz de la Huerta,Emily Alyn Lind,Olly Alexander,Drama Fantasy
Amy Heckerling,vamps,Taylor Negron,Justin Kirk,Ivan Sergei,Comedy Horror Romance
Lasse Hallström,hachi: a dog's tale,Cary-Hiroyuki Tagawa,Sarah Roemer,Joan Allen,Drama Family
Jérôme Salle,zulu,Orlando Bloom,Tanya van Graan,Conrad Kemp,Crime Drama Thriller
Tommy Lee Jones,the homesman,Barry Corbin,Tim Blake Nelson,Miranda Otto,Drama Western
Jesse Vaughan,juwanna mann,Vivica A. Fox,Jenifer Lewis,Kevin Pollak,Comedy Drama Romance Sport
unknown,lilyhammer            ,Steven Van Zandt,Trond Fausa,Tommy Karlsen,Comedy Crime Drama
Atom Egoyan,ararat,David Alpay,Marie-Josée Croze,Charles Aznavour,Drama War
William Bindley,madison,Bruce Dern,Jake Lloyd,William Shockley,Drama Sport
Wayne Beach,slow burn,Mekhi Phifer,LL Cool J,Fisher Stevens,Drama Mystery Thriller
Gérard Krawczyk,wasabi,Carole Bouquet,Ryôko Hirosue,Michel Muller,Action Comedy Crime Drama Thriller
James Gunn,slither,Dustin Milligan,Gregg Henry,Tania Saulnier,Comedy Horror Sci-Fi
Martin Brest,beverly hills cop,Judge Reinhold,Ronny Cox,James Russo,Action Comedy Crime
Chris Columbus,home alone,Macaulay Culkin,Devin Ratray,Catherine O'Hara,Comedy Family
Leonard Nimoy,3 men and a baby,Tom Selleck,Ted Danson,Steve Guttenberg,Comedy Drama Family
Sydney Pollack,tootsie,Bill Murray,Sydney Pollack,Teri Garr,Comedy Drama Romance
Tony Scott,top gun,Tom Cruise,Tom Skerritt,Adrian Pasdar,Action Drama Romance
Ang Lee,"crouching tiger, hidden dragon",Chen Chang,Pei-Pei Cheng,Sihung Lung,Action Drama Romance
Sam Mendes,american beauty,Kevin Spacey,Peter Gallagher,Ara Celi,Drama
Tom Hooper,the king's speech,Colin Firth,Jennifer Ehle,Derek Jacobi,Biography Drama History Romance
Ivan Reitman,twins,Kelly Preston,Tony Jay,Hugh O'Brian,Comedy Crime
unknown,scream: the tv series            ,Bex Taylor-Klaus,Bobby Campo,Jason Wiles,Crime Drama Horror Mystery Thriller
Udayan Prasad,the yellow handkerchief,Kristen Stewart,Eddie Redmayne,William Hurt,Drama Romance
Steven Spielberg,the color purple,Oprah Winfrey,Rae Dawn Chong,Dana Ivey,Drama
JK Youn,tidal wave,Nicole Dionne,Ji-won Ha,Kyung-gu Sol,Action Comedy Drama Thriller
Timur Bekmambetov,ben-hur,Morgan Freeman,Ayelet Zurer,Moises Arias,Adventure Drama History
Morten Tyldum,the imitation game,Benedict Cumberbatch,Rory Kinnear,Allen Leech,Biography Drama Thriller War
Howard Zieff,private benjamin,Eileen Brennan,Albert Brooks,Alan Oppenheimer,Comedy War
Michael Apted,coal miner's daughter,Sissy Spacek,Beverly D'Angelo,Levon Helm,Biography Drama Music Musical
Thor Freudenthal,diary of a wimpy kid,Chloë Grace Moretz,Zachary Gordon,Rachael Harris,Comedy Family
Andrés Muschietti,mama,Javier Botet,Megan Charpentier,Isabelle Nélisse,Fantasy Horror
John Carpenter,halloween,Jamie Lee Curtis,Donald Pleasence,P.J. Soles,Horror Thriller
Harold Ramis,national lampoon's vacation,Beverly D'Angelo,Randy Quaid,Jane Krakowski,Adventure Comedy
Jeff Tremaine,bad grandpa,Jackson Nicoll,Georgina Cates,Grasie Mercedes,Comedy
Stephen Frears,the queen,Roger Allam,Sylvia Syms,Alex Jennings,Biography Drama
Tim Burton,beetlejuice,Catherine O'Hara,Jeffrey Jones,Glenn Shadix,Comedy Fantasy
Tyler Perry,why did i get married?,Michael Jai White,Tasha Smith,Lamman Rucker,Comedy Drama
Gillian Armstrong,little women,Christian Bale,Kirsten Dunst,Eric Stoltz,Drama Family Romance
James Watkins,the woman in black,Daniel Radcliffe,Roger Allam,Jessica Raine,Drama Fantasy Horror Thriller
Simon West,when a stranger calls,Madeline Carroll,Tessa Thompson,Brian Geraghty,Horror Thriller
Shawn Levy,big fat liar,Frankie Muniz,Donald Faison,Lee Majors,Adventure Comedy Family
Michael Cimino,the deer hunter,Robert De Niro,Meryl Streep,John Savage,Drama War
Barry Levinson,wag the dog,Robert De Niro,Kirsten Dunst,John Michael Higgins,Comedy Drama
Jim Fall,the lizzie mcguire movie,Clayton Snyder,Adam Lamberg,Alex Borstein,Adventure Comedy Family Music Romance
Ric Roman Waugh,snitch,Dwayne Johnson,Harold Perrineau,Nadine Velazquez,Action Drama Thriller
Michael Dougherty,krampus,Adam Scott,Conchata Ferrell,Allison Tolman,Comedy Fantasy Horror
Robert Rodriguez,the faculty,Jordana Brewster,Salma Hayek,Clea DuVall,Horror Mystery Sci-Fi
Brian Gibson,what's love got to do with it,Rae'Ven Kelly,Virginia Capers,Dororthy Thorton,Biography Drama Music
James Mangold,cop land,Robert De Niro,Sylvester Stallone,Janeane Garofalo,Crime Drama Thriller
Joel Gallen,not another teen movie,Chris Evans,JoAnna Garcia Swisher,Mia Kirshner,Comedy
David Ayer,end of watch,Jake Gyllenhaal,Anna Kendrick,America Ferrera,Crime Drama Thriller
Cameron Crowe,aloha,Emma Stone,Bradley Cooper,Bill Murray,Comedy Drama Romance
Rob Cohen,the skulls,Paul Walker,Leslie Bibb,William Petersen,Action Crime Drama Thriller
James Marsh,the theory of everything,Eddie Redmayne,Emily Watson,Simon McBurney,Biography Drama Romance
John Whitesell,malibu's most wanted,Greg Grunberg,Regina Hall,Blair Underwood,Comedy Crime
Matt Williams,where the heart is,Natalie Portman,James Frain,Stockard Channing,Comedy Drama Romance
David Lean,lawrence of arabia,Claude Rains,José Ferrer,Jack Hawkins,Adventure Biography Drama History War
Rob Zombie,halloween ii,Scout Taylor-Compton,Tyler Mane,Margot Kidder,Horror
Jean-Marc Vallée,wild,Michiel Huisman,Kevin Rankin,Gaby Hoffmann,Adventure Biography Drama
Dennis Iliadis,the last house on the left,Tony Goldwyn,Monica Potter,Martha MacIsaac,Crime Horror Thriller
Clare Kilner,the wedding date,Jack Davenport,Debra Messing,Holland Taylor,Comedy Romance
Rick Rosenthal,halloween: resurrection,Jamie Lee Curtis,Thomas Ian Nicholas,Bianca Kajlich,Comedy Horror Thriller
Louis Leterrier,clash of the titans,Liam Neeson,Jason Flemyng,Alexa Davalos,Action Adventure Fantasy
Rob Reiner,the princess bride,Robin Wright,Carol Kane,André the Giant,Adventure Family Fantasy Romance
Denzel Washington,the great debaters,Denzel Washington,Jurnee Smollett-Bell,John Heard,Biography Drama
Nicolas Winding Refn,drive,Ryan Gosling,Albert Brooks,Russ Tamblyn,Crime Drama
Sara Sugarman,confessions of a teenage drama queen,Adam Garcia,Carol Kane,Glenne Headly,Comedy Family Music Romance
Nicholas Hytner,the object of my affection,Liam Aiken,Tim Daly,Kali Rocha,Comedy Drama Romance
Juan Carlos Fresnadillo,28 weeks later,Jeremy Renner,Harold Perrineau,Catherine McCormack,Drama Horror Sci-Fi
Thomas Carter,when the game stands tall,Jessie T. Usher,Matthew Daddario,Ser'Darius Blain,Drama Family Sport
Wayne Wang,because of winn-dixie,Cicely Tyson,Luke Benward,Eva Marie Saint,Comedy Drama Family
Gina Prince-Bythewood,love & basketball,Alfre Woodard,Sanaa Lathan,Omar Epps,Drama Romance Sport
George Armitage,grosse pointe blank,Minnie Driver,Michael Cudlitz,Mitchell Ryan,Action Comedy Crime Romance Thriller
Phil Traill,all about steve,Bradley Cooper,Katy Mixon,Beth Grant,Comedy Romance
Joe Berlinger,book of shadows: blair witch 2,Kim Director,Erica Leerhsen,Kurt Loder,Adventure Fantasy Horror Mystery Thriller
Andrew Fleming,the craft,Christine Taylor,Rachel True,Brenda Strong,Drama Fantasy Horror Thriller
Woody Allen,match point,Scarlett Johansson,Mark Gatiss,Penelope Wilton,Drama Romance Thriller
Elizabeth Allen Rosenbaum,ramona and beezus,Sierra McCormick,Hutch Dano,Jason Spevack,Adventure Comedy Family Fantasy
James Ivory,the remains of the day,Anthony Hopkins,Peter Vaughan,Ben Chaplin,Drama Romance
Paul Thomas Anderson,boogie nights,Don Cheadle,Nicole Ari Parker,Nina Hartley,Drama
Robert Harmon,nowhere to run,Kieran Culkin,Rosanna Arquette,Joss Ackland,Action Crime Drama Romance Thriller
Michael Mayer,flicka,Alison Lohman,Danny Pino,Tim McGraw,Adventure Drama Family
Martin Weisz,the hills have eyes ii,Jeff Kober,Daniella Alonso,Jacob Vargas,Horror
John Ottman,urban legends: final cut,Loretta Devine,Joey Lawrence,Jacinda Barrett,Horror Mystery Thriller
Jay Russell,tuck everlasting,William Hurt,Sissy Spacek,Jonathan Jackson,Drama Family Fantasy Romance
John Bonito,the marine,Kelly Carlson,Firass Dirani,Drew Powell,Action Drama Thriller
Peter Atencio,keanu,Nia Long,Will Forte,Keegan-Michael Key,Action Comedy
Shana Feste,country strong,Leighton Meester,Cinda McCain,Tim McGraw,Drama Music
David Nutter,disturbing behavior,Bruce Greenwood,Ethan Embry,Katharine Isabelle,Horror Mystery Sci-Fi Thriller
Derek Cianfrance,the place beyond the pines,Ryan Gosling,Ben Mendelsohn,Angelo Anthony Pizza,Crime Drama Thriller
Roger Donaldson,the november man,Luke Bracey,Akie Kotabe,Will Patton,Action Crime Thriller
Stephan Elliott,eye of the beholder,Jason Priestley,Patrick Bergin,Geneviève Bujold,Drama Mystery Thriller
Kathryn Bigelow,the hurt locker,Jeremy Renner,Christian Camargo,Brian Geraghty,Drama History Thriller War
Mark L. Lester,firestarter,Heather Locklear,George C. Scott,David Keith,Action Horror Sci-Fi Thriller
Andrew Dominik,killing them softly,Brad Pitt,Sam Shepard,Ben Mendelsohn,Crime Thriller
Anton Corbijn,a most wanted man,Philip Seymour Hoffman,Nina Hoss,Homayoun Ershadi,Crime Drama Thriller
Tom Green,freddy got fingered,Rip Torn,Harland Williams,Eddie Kaye Thomas,Comedy
Mike Nawrocki,the pirates who don't do anything: a veggietales movie,Yuri Lowenthal,Cam Clarke,Phil Vischer,Adventure Animation Comedy Family
Catherine Owens,u2 3d,Bono,The Edge,Larry Mullen Jr.,Documentary Music
Douglas Aarniokoski,highlander: endgame,Christopher Lambert,Adrian Paul,Adam Copeland,Action Adventure Fantasy Sci-Fi
Bryan Barber,idlewild,Cicely Tyson,Faizon Love,Bobb'e J. Thompson,Crime Drama Musical Romance
Lone Scherfig,one day,Anne Hathaway,Jim Sturgess,Rafe Spall,Drama Romance
Drew Barrymore,whip it,Daniel Stern,Jimmy Fallon,Alia Shawkat,Drama Sport
Brian Koppelman,knockaround guys,Vin Diesel,Tom Noonan,Kevin Gage,Crime Drama Thriller
James Foley,confidence,Louis Lombardi,Brian Van Holt,Leland Orser,Crime Thriller
Albert Brooks,the muse,Jeff Bridges,Bradley Whitford,Albert Brooks,Comedy
Irwin Winkler,de-lovely,Kevin McNally,Keith Allen,Sandra Nelson,Biography Drama Music Musical
Woody Allen,new york stories,Woody Allen,Larry David,Mia Farrow,Comedy Drama Romance
Steve Gomer,barney's great adventure,Trevor Morgan,Kyla Pratt,Shirley Douglas,Adventure Family
RZA,the man with the iron fists,Rick Yune,RZA,Daniel Wu,Action
Dean Parisot,home fries,Catherine O'Hara,Jake Busey,Shelley Duvall,Comedy Drama Romance
Mark Piznarski,here on earth,Bruce Greenwood,Chris Klein,Elaine Hendrix,Drama Romance
Terry Gilliam,brazil,Robert De Niro,Bob Hoskins,Jim Broadbent,Drama Sci-Fi
Sean McNamara,raise your voice,Oliver James,Rebecca De Mornay,Jason Ritter,Family Music Romance
unknown,the dead zone            ,David Ogden Stiers,Nicole de Boer,Chris Bruno,Drama Fantasy Mystery Sci-Fi
Joel Coen,the big lebowski,Philip Seymour Hoffman,Jeff Bridges,Steve Buscemi,Comedy Crime
Craig Brewer,black snake moan,Justin Timberlake,Michael Raymond-James,S. Epatha Merkerson,Drama Music
Ron Shelton,dark blue,Khandi Alexander,Dash Mihok,Michael Michele,Crime Drama Romance Thriller
Michael Winterbottom,a mighty heart,Angelina Jolie Pitt,Archie Panjabi,Dan Futterman,Biography Drama History Thriller War
David Raynr,whatever it takes,James Franco,Jodi Lyn O'Keefe,Marla Sokoloff,Comedy Drama Romance
Mort Nathan,boat trip,Vivica A. Fox,Lin Shaye,Bob Gunton,Comedy
Oliver Parker,the importance of being earnest,Colin Firth,Tom Wilkinson,Rupert Everett,Comedy Drama Romance
Dan Curtis,the love letter,Jennifer Jason Leigh,Campbell Scott,Estelle Parsons,Fantasy Romance
Wil Shriner,hoot,Logan Lerman,Neil Flynn,Tim Blake Nelson,Adventure Comedy Family
Martin McDonagh,in bruges,Elizabeth Berrington,Anna Madeley,Eric Godon,Comedy Crime Drama
Tina Gordon Chism,peeples,Tyler James Williams,S. Epatha Merkerson,Diahann Carroll,Comedy Romance
Peter Cattaneo,the rocker,Emma Stone,Bradley Cooper,Josh Gad,Comedy Music
Vicky Jenson,post grad,J.K. Simmons,Zach Gilford,Bobby Coleman,Comedy Romance
Gus Van Sant,promised land,Matt Damon,Hal Holbrook,Terry Kinney,Drama
Woody Allen,whatever works,Larry David,Michael McKean,Conleth Hill,Comedy Romance
Mary Lambert,the in crowd,Matthew Settle,Susan Ward,A.J. Buckley,Drama Mystery Thriller
Tommy Lee Jones,three burials,Levon Helm,Dwight Yoakam,Guillermo Arriaga,Adventure Crime Drama Mystery Western
Peter Kassovitz,jakob the liar,Robin Williams,Mark Margolis,Michael Jeter,Drama War
Shane Black,kiss kiss bang bang,Robert Downey Jr.,Corbin Bernsen,Larry Miller,Comedy Crime Mystery
Rodman Flender,idle hands,Vivica A. Fox,Fred Willard,Elden Henson,Comedy Fantasy Horror Thriller
David Lynch,mulholland drive,Naomi Watts,Robert Forster,Laura Harring,Drama Mystery Thriller
Katja von Garnier,blood and chocolate,Olivier Martinez,Agnes Bruckner,Chris Geere,Drama Fantasy Horror Romance
Woody Allen,you will meet a tall dark stranger,Anthony Hopkins,Naomi Watts,Ewen Bremner,Comedy Drama Romance
Mark Romanek,never let me go,Andrew Garfield,Charlie Rowe,Charlotte Rampling,Drama Romance Sci-Fi
unknown,the company            ,Anna Silk,Tom Hollander,Alessandro Nivola,Drama History Thriller
Brad Anderson,transsiberian,Thomas Kretschmann,Eduardo Noriega,Mac McDonald,Crime Drama Mystery Thriller
Michael Chapman,the clan of the cave bear,Curtis Armstrong,Pamela Reed,Mike Muscat,Adventure Drama Fantasy
Antonio Banderas,crazy in alabama,Meat Loaf,Elizabeth Perkins,Noah Emmerich,Comedy Crime Drama
Michael Haneke,funny games,Naomi Watts,Siobhan Fallon Hogan,Brady Corbet,Crime Drama Horror Thriller
Khalil Sullins,listening,Thomas Stroppel,Kalim Chandler,Amber Marie Bollinger,Drama Sci-Fi Thriller
Atom Egoyan,felicia's journey,Bob Hoskins,Elaine Cassidy,Gerard McSorley,Drama Thriller
Fritz Lang,metropolis,Brigitte Helm,Gustav Fröhlich,Rudolf Klein-Rogge,Drama Sci-Fi
Pierre Morel,district b13,David Belle,Cyril Raffaelli,Dany Verissimo-Petit,Action Crime Thriller
Gary Fleder,things to do in denver when you're dead,Steve Buscemi,Bill Cobbs,Treat Williams,Crime Drama
Hsiao-Hsien Hou,the assassin,Qi Shu,Chen Chang,Satoshi Tsumabuki,Action Drama
Gregor Jordan,buffalo soldiers,Dean Stockwell,Scott Glenn,Leon,Comedy Crime Drama Thriller War
Andrey Zvyagintsev,the return,Konstantin Lavronenko,Vladimir Garin,Nataliya Vdovina,Drama Mystery Thriller
Tony Jaa,ong-bak 2,Nirut Sirichanya,Petchtai Wongkamlao,Sarunyu Wongkrachang,Action
Neil Marshall,centurion,Michael Fassbender,JJ Feild,Dave Legeno,Action Adventure Drama History Thriller War
Russell Mulcahy,silent trigger,Christopher Heyerdahl,Gina Bellman,Conrad Dunn,Action Drama Thriller
Ryûhei Kitamura,the midnight meat train,Bradley Cooper,Brooke Shields,Leslie Bibb,Fantasy Horror Mystery
Darrell Roodt,winnie mandela,Jennifer Hudson,Wendy Crewson,Aubrey Poo,Biography Drama History
Dito Montiel,the son of no one,Channing Tatum,Al Pacino,Tracy Morgan,Crime Drama Thriller
Stefan Ruzowitzky,all the queen's men,Eddie Izzard,Udo Kier,Edward Fox,Action Comedy Drama War
Jake Paltrow,the good night,Stephen Graham,Gael Le Cornec,Keith Allen,Comedy Drama Fantasy Music Romance
Juraj Jakubisko,bathory: countess of blood,Anna Friel,Hans Matheson,Franco Nero,Biography Drama Fantasy History
Anthony Silverston,khumba,Liam Neeson,Steve Buscemi,Loretta Devine,Adventure Animation Family
Gabe Ibáñez,automata,Birgitte Hjort Sørensen,Robert Forster,Melanie Griffith,Action Sci-Fi Thriller
Gerry Lively,dungeons & dragons: wrath of the dragon god,Bruce Payne,Lucy Gaskell,Steven Elder,Action Adventure Fantasy
Daniele Luchetti,chiamatemi francesco - il papa della gente,Maximilian Dirr,Rodrigo De la Serna,Ferdinando Vetere,Biography
Tung-Shing Yee,shinjuku incident,Bingbing Fan,Daniel Wu,Yasuaki Kurata,Action Crime Drama Thriller
Julien Temple,pandaemonium,Samantha Morton,Dexter Fletcher,Linus Roache,Biography Drama
Harold Ramis,groundhog day,Bill Murray,Chris Elliott,Willie Garson,Comedy Fantasy Romance
Gregory Jacobs,magic mike xxl,Matt Bomer,Channing Tatum,Kevin Nash,Comedy Drama Music
Baz Luhrmann,romeo + juliet,Leonardo DiCaprio,Harold Perrineau,Brian Dennehy,Drama Romance
Gilles Paquet-Brenner,sarah's key,Kristin Scott Thomas,Aidan Quinn,Arben Bajraktaraj,Drama War
Peter Cousens,freedom,Sharon Leal,David Rasche,Bart Shatto,Drama Family Music
Clint Eastwood,unforgiven,Clint Eastwood,Morgan Freeman,Frances Fisher,Drama Western
Lars von Trier,manderlay,Bryce Dallas Howard,Jeremy Davies,Jean-Marc Barr,Drama
Danny Boyle,slumdog millionaire,Anil Kapoor,Saurabh Shukla,Ayush Mahesh Khedekar,Drama Romance
Adrian Lyne,fatal attraction,Fred Gwynne,Lois Smith,Anne Archer,Drama Romance Thriller
Garry Marshall,pretty woman,Julia Roberts,Hector Elizondo,Jason Alexander,Comedy Romance
John Blanchard,towering inferno            ,Martin Short,Andrea Martin,Joe Flaherty,Comedy
John Cornell,crocodile dundee ii,Paul Hogan,Linda Kozlowski,John Meillon,Action Adventure Comedy
Vidhu Vinod Chopra,broken horses,María Valverde,Chris Marquette,Chad Bishop,Action Crime Drama Mystery Thriller
Oliver Stone,born on the fourth of july,Tom Cruise,Tom Berenger,Stephen Baldwin,Biography Drama War
Jon Turteltaub,cool runnings,Doug E. Doug,Leon,Malik Yoba,Adventure Comedy Family Sport
Patrick Lussier,my bloody valentine,Jensen Ackles,Jaime King,Edi Gathegi,Horror Thriller
