director_name,movie_title,actor_1_name,actor_2_name,actor_3_name,genres,comb
Gabe Ibáñez,automata,Birgitte Hjort Sørensen,Robert Forster,Melanie Griffith,Action Sci-Fi Thriller,Birgitte Hjort Sørensen Robert Forster Melanie Griffith Gabe Ibáñez Action Sci-Fi Thriller
Gerry Lively,dungeons & dragons: wrath of the dragon god,Bruce Payne,Lucy Gaskell,Steven Elder,Action Adventure Fantasy,Bruce Payne Lucy Gaskell Steven Elder Gerry Lively Action Adventure Fantasy
Daniele Luchetti,chiamatemi francesco - il papa della gente,Maximilian Dirr,Rodrigo De la Serna,Ferdinando Vetere,Biography,Maximilian Dirr Rodrigo De la Serna Ferdinando Vetere Daniele Luchetti Biography
Tung-Shing Yee,shinjuku incident,Bingbing Fan,Daniel Wu,Yasuaki Kurata,Action Crime Drama Thriller,Bingbing Fan Daniel Wu Yasuaki Kurata Tung-Shing Yee Action Crime Drama Thriller
Julien Temple,pandaemonium,Samantha Morton,Dexter Fletcher,Linus Roache,Biography Drama,Samantha Morton Dexter Fletcher Linus Roache Julien Temple Biography Drama
Harold Ramis,groundhog day,Bill Murray,Chris Elliott,Willie Garson,Comedy Fantasy Romance,Bill Murray Chris Elliott Willie Garson Harold Ramis Comedy Fantasy Romance
Gregory Jacobs,magic mike xxl,Matt Bomer,Channing Tatum,Kevin Nash,Comedy Drama Music,Matt Bomer Channing Tatum Kevin Nash Gregory Jacobs Comedy Drama Music
Baz Luhrmann,romeo + juliet,Leonardo DiCaprio,Harold Perrineau,Brian Dennehy,Drama Romance,Leonardo DiCaprio Harold Perrineau Brian Dennehy Baz Luhrmann Drama Romance
Gilles Paquet-Brenner,sarah's key,Kristin Scott Thomas,Aidan Quinn,Arben Bajraktaraj,Drama War,Kristin Scott Thomas Aidan Quinn Arben Bajraktaraj Gilles Paquet-Brenner Drama War
Peter Cousens,freedom,Sharon Leal,David Rasche,Bart Shatto,Drama Family Music,Sharon Leal David Rasche Bart Shatto Peter Cousens Drama Family Music
Clint Eastwood,unforgiven,Clint Eastwood,Morgan Freeman,Frances Fisher,Drama Western,Clint Eastwood Morgan Freeman Frances Fisher Clint Eastwood Drama Western
Lars von Trier,manderlay,Bryce Dallas Howard,Jeremy Davies,Jean-Marc Barr,Drama,Bryce Dallas Howard Jeremy Davies Jean-Marc Barr Lars von Trier Drama
Danny Boyle,slumdog millionaire,Anil Kapoor,Saurabh Shukla,Ayush Mahesh Khedekar,Drama Romance,Anil Kapoor Saurabh Shukla Ayush Mahesh Khedekar Danny Boyle Drama Romance
Adrian Lyne,fatal attraction,Fred Gwynne,Lois Smith,Anne Archer,Drama Romance Thriller,Fred Gwynne Lois Smith Anne Archer Adrian Lyne Drama Romance Thriller
Garry Marshall,pretty woman,Julia Roberts,Hector Elizondo,Jason Alexander,Comedy Romance,Julia Roberts Hector Elizondo Jason Alexander Garry Marshall Comedy Romance
John Blanchard,towering inferno            ,Martin Short,Andrea Martin,Joe Flaherty,Comedy,Martin Short Andrea Martin Joe Flaherty John Blanchard Comedy
John Cornell,crocodile dundee ii,Paul Hogan,Linda Kozlowski,John Meillon,Action Adventure Comedy,Paul Hogan Linda Kozlowski John Meillon John Cornell Action Adventure Comedy
Vidhu Vinod Chopra,broken horses,María Valverde,Chris Marquette,Chad Bishop,Action Crime Drama Mystery Thriller,María Valverde Chris Marquette Chad Bishop Vidhu Vinod Chopra Action Crime Drama Mystery Thriller
Oliver Stone,born on the fourth of july,Tom Cruise,Tom Berenger,Stephen Baldwin,Biography Drama War,Tom Cruise Tom Berenger Stephen Baldwin Oliver Stone Biography Drama War
Jon Turteltaub,cool runnings,Doug E. Doug,Leon,Malik Yoba,Adventure Comedy Family Sport,Doug E. Doug Leon Malik Yoba Jon Turteltaub Adventure Comedy Family Sport
Patrick Lussier,my bloody valentine,Jensen Ackles,Jaime King,Edi Gathegi,Horror Thriller,Jensen Ackles Jaime King Edi Gathegi Patrick Lussier Horror Thriller
Ole Bornedal,the possession,Kyra Sedgwick,Madison Davenport,Natasha Calis,Horror Thriller,Kyra Sedgwick Madison Davenport Natasha Calis Ole Bornedal Horror Thriller
Ted Kotcheff,first blood,Sylvester Stallone,Brian Dennehy,Chris Mulkey,Action Adventure Drama,Sylvester Stallone Brian Dennehy Chris Mulkey Ted Kotcheff Action Adventure Drama
Sylvain White,stomp the yard,Chris Brown,Laz Alonso,Harry Lennix,Drama Music Romance,Chris Brown Laz Alonso Harry Lennix Sylvain White Drama Music Romance
Lewis Gilbert,the spy who loved me,Caroline Munro,Desmond Llewelyn,Barbara Bach,Action Adventure Sci-Fi Thriller,Caroline Munro Desmond Llewelyn Barbara Bach Lewis Gilbert Action Adventure Sci-Fi Thriller
unknown,ghost hunters            ,Amy Bruni,Steve Gonsalves,Jason Hawes,Documentary,Amy Bruni Steve Gonsalves Jason Hawes unknown Documentary
Jamie Blanks,urban legend,Alicia Witt,Loretta Devine,Julian Richings,Horror Mystery Thriller,Alicia Witt Loretta Devine Julian Richings Jamie Blanks Horror Mystery Thriller
Stephen Frears,dangerous liaisons,Keanu Reeves,Peter Capaldi,Swoosie Kurtz,Drama Romance,Keanu Reeves Peter Capaldi Swoosie Kurtz Stephen Frears Drama Romance
Tyler Perry,good deeds,Eddie Cibrian,Phylicia Rashad,Jamie Kennedy,Comedy Drama Romance,Eddie Cibrian Phylicia Rashad Jamie Kennedy Tyler Perry Comedy Drama Romance
Randal Kleiser,white fang,Seymour Cassel,Klaus Maria Brandauer,Susan Hogan,Adventure Drama,Seymour Cassel Klaus Maria Brandauer Susan Hogan Randal Kleiser Adventure Drama
Bruce McCulloch,superstar,Will Ferrell,Elaine Hendrix,Molly Shannon,Comedy Romance,Will Ferrell Elaine Hendrix Molly Shannon Bruce McCulloch Comedy Romance
Phyllida Lloyd,the iron lady,Meryl Streep,Jim Broadbent,Olivia Colman,Biography Drama History,Meryl Streep Jim Broadbent Olivia Colman Phyllida Lloyd Biography Drama History
Mike Nawrocki,jonah: a veggietales movie,Phil Vischer,Mike Nawrocki,Shelby Vischer,Adventure Animation Comedy Drama Family Musical,Phil Vischer Mike Nawrocki Shelby Vischer Mike Nawrocki Adventure Animation Comedy Drama Family Musical
John Singleton,poetic justice,Janet Jackson,Khandi Alexander,Maya Angelou,Drama Romance,Janet Jackson Khandi Alexander Maya Angelou John Singleton Drama Romance
Kevin Bray,all about the benjamins,Mike Epps,Roger Guenveur Smith,Gino Salvano,Action Comedy Crime Thriller,Mike Epps Roger Guenveur Smith Gino Salvano Kevin Bray Action Comedy Crime Thriller
Wes Craven,vampire in brooklyn,John Witherspoon,W. Earl Brown,Allen Payne,Comedy Fantasy Horror Romance,John Witherspoon W. Earl Brown Allen Payne Wes Craven Comedy Fantasy Horror Romance
John Boorman,exorcist ii: the heretic,Linda Blair,Richard Burton,Ned Beatty,Horror,Linda Blair Richard Burton Ned Beatty John Boorman Horror
Courtney Solomon,an american haunting,Sissy Spacek,James D'Arcy,Vernon Dobtcheff,Horror Mystery Thriller,Sissy Spacek James D'Arcy Vernon Dobtcheff Courtney Solomon Horror Mystery Thriller
David Zucker,my boss's daughter,Carmen Electra,Tyler Labine,Molly Shannon,Comedy Romance,Carmen Electra Tyler Labine Molly Shannon David Zucker Comedy Romance
David Twohy,a perfect getaway,Chris Hemsworth,Milla Jovovich,Marley Shelton,Adventure Mystery Thriller,Chris Hemsworth Milla Jovovich Marley Shelton David Twohy Adventure Mystery Thriller
Rick Famuyiwa,our family wedding,America Ferrera,Lance Gross,Lupe Ontiveros,Comedy Romance,America Ferrera Lance Gross Lupe Ontiveros Rick Famuyiwa Comedy Romance
Alan Cohn,dead man on campus,Alyson Hannigan,Linda Cardellini,Poppy Montgomery,Comedy,Alyson Hannigan Linda Cardellini Poppy Montgomery Alan Cohn Comedy
Franco Zeffirelli,tea with mussolini,Lily Tomlin,Joan Plowright,Paolo Seganti,Comedy Drama War,Lily Tomlin Joan Plowright Paolo Seganti Franco Zeffirelli Comedy Drama War
Tom Holland,thinner,Joe Mantegna,Bethany Joy Lenz,Kari Wuhrer,Fantasy Horror,Joe Mantegna Bethany Joy Lenz Kari Wuhrer Tom Holland Fantasy Horror
Martin Scorsese,"new york, new york",Robert De Niro,Liza Minnelli,Mary Kay Place,Drama Music Musical Romance,Robert De Niro Liza Minnelli Mary Kay Place Martin Scorsese Drama Music Musical Romance
Spike Lee,crooklyn,Alfre Woodard,Delroy Lindo,Isaiah Washington,Comedy Drama,Alfre Woodard Delroy Lindo Isaiah Washington Spike Lee Comedy Drama
Chris Rock,i think i love my wife,Steve Buscemi,Eliza Coupe,Wendell Pierce,Comedy Drama Romance,Steve Buscemi Eliza Coupe Wendell Pierce Chris Rock Comedy Drama Romance
James Isaac,jason x,Peter Mensah,Kane Hodder,Lexa Doig,Action Horror Sci-Fi Thriller,Peter Mensah Kane Hodder Lexa Doig James Isaac Action Horror Sci-Fi Thriller
Shawn Levy,big fat liar,Frankie Muniz,Donald Faison,Lee Majors,Adventure Comedy Family,Frankie Muniz Donald Faison Lee Majors Shawn Levy Adventure Comedy Family
Emilio Estevez,bobby,Anthony Hopkins,Nick Cannon,Brian Geraghty,Drama History,Anthony Hopkins Nick Cannon Brian Geraghty Emilio Estevez Drama History
Mark Waters,head over heels,Monica Potter,Ivana Milicevic,China Chow,Comedy Mystery Romance,Monica Potter Ivana Milicevic China Chow Mark Waters Comedy Mystery Romance
Josh Schwartz,fun size,Thomas McDonell,Jackson Nicoll,Osric Chau,Adventure Comedy,Thomas McDonell Jackson Nicoll Osric Chau Josh Schwartz Adventure Comedy
Julian Schnabel,the diving bell and the butterfly,Emmanuelle Seigner,Mathieu Amalric,Isaach De Bankolé,Biography Drama,Emmanuelle Seigner Mathieu Amalric Isaach De Bankolé Julian Schnabel Biography Drama
Todd Field,little children,Kate Winslet,Noah Emmerich,Jane Adams,Drama Romance,Kate Winslet Noah Emmerich Jane Adams Todd Field Drama Romance
Davis Guggenheim,gossip,Norman Reedus,Sharon Lawrence,Noam Jenkins,Drama Mystery Thriller,Norman Reedus Sharon Lawrence Noam Jenkins Davis Guggenheim Drama Mystery Thriller
Tony Goldwyn,a walk on the moon,Viggo Mortensen,Julie Kavner,Tovah Feldshuh,Drama,Viggo Mortensen Julie Kavner Tovah Feldshuh Tony Goldwyn Drama
Phillip Noyce,catch a fire,Derek Luke,Terry Pheto,Bonnie Henna,Biography Drama History,Derek Luke Terry Pheto Bonnie Henna Phillip Noyce Biography Drama History
Stephen Carpenter,soul survivors,Melissa Sagemiller,Angela Featherstone,Candace Kroslak,Drama Horror Mystery Thriller,Melissa Sagemiller Angela Featherstone Candace Kroslak Stephen Carpenter Drama Horror Mystery Thriller
James Ivory,jefferson in paris,Seth Gilliam,Todd Boyce,Nigel Whitmey,Biography Drama History Romance,Seth Gilliam Todd Boyce Nigel Whitmey James Ivory Biography Drama History Romance
Stephan Elliott,easy virtue,Colin Firth,Kristin Scott Thomas,Kris Marshall,Comedy Romance,Colin Firth Kristin Scott Thomas Kris Marshall Stephan Elliott Comedy Romance
James Fargo,caravans,Christopher Lee,Joseph Cotten,Behrouz Vossoughi,Action Adventure History,Christopher Lee Joseph Cotten Behrouz Vossoughi James Fargo Action Adventure History
Mike Leigh,mr. turner,Lesley Manville,Ruth Sheen,Karl Johnson,Biography Drama History,Lesley Manville Ruth Sheen Karl Johnson Mike Leigh Biography Drama History
Alain Resnais,wild grass,Mathieu Amalric,Sara Forestier,Edouard Baer,Drama Romance,Mathieu Amalric Sara Forestier Edouard Baer Alain Resnais Drama Romance
Costa-Gavras,amen.,Sebastian Koch,Mathieu Kassovitz,Ulrich Mühe,Biography Crime Drama War,Sebastian Koch Mathieu Kassovitz Ulrich Mühe Costa-Gavras Biography Crime Drama War
Chao-Bin Su,reign of assassins,Woo-sung Jung,Shawn Yue,Kelly Lin,Action,Woo-sung Jung Shawn Yue Kelly Lin Chao-Bin Su Action
Neil Burger,the lucky ones,John Heard,Katherine LaNasa,Mark L. Young,Comedy Drama War,John Heard Katherine LaNasa Mark L. Young Neil Burger Comedy Drama War
Kenneth Lonergan,margaret,Matt Damon,Kieran Culkin,John Gallagher Jr.,Drama,Matt Damon Kieran Culkin John Gallagher Jr. Kenneth Lonergan Drama
Bo Zenga,stan helsing,Steve Howey,Kenan Thompson,Diora Baird,Comedy Horror,Steve Howey Kenan Thompson Diora Baird Bo Zenga Comedy Horror
Rob Reiner,flipped,Madeline Carroll,Rebecca De Mornay,Aidan Quinn,Comedy Drama Romance,Madeline Carroll Rebecca De Mornay Aidan Quinn Rob Reiner Comedy Drama Romance
Ang Lee,brokeback mountain,Jake Gyllenhaal,Heath Ledger,Anne Hathaway,Drama Romance,Jake Gyllenhaal Heath Ledger Anne Hathaway Ang Lee Drama Romance
Jonathan Liebesman,teenage mutant ninja turtles,Noel Fisher,Danny Woodburn,Jeremy Howard,Action Adventure Comedy Sci-Fi,Noel Fisher Danny Woodburn Jeremy Howard Jonathan Liebesman Action Adventure Comedy Sci-Fi
Amy Heckerling,clueless,Donald Faison,Dan Hedaya,Elisa Donovan,Comedy Romance,Donald Faison Dan Hedaya Elisa Donovan Amy Heckerling Comedy Romance
Todd Haynes,far from heaven,Dennis Quaid,Celia Weston,Michael Gaston,Drama Romance,Dennis Quaid Celia Weston Michael Gaston Todd Haynes Drama Romance
Steve Pink,hot tub time machine 2,Adam Scott,Gillian Jacobs,Collette Wolfe,Comedy Sci-Fi,Adam Scott Gillian Jacobs Collette Wolfe Steve Pink Comedy Sci-Fi
Philip Kaufman,quills,Kate Winslet,Stephen Marcus,Amelia Warner,Biography Drama,Kate Winslet Stephen Marcus Amelia Warner Philip Kaufman Biography Drama
Martin McDonagh,seven psychopaths,Abbie Cornish,Gabourey Sidibe,Michael Stuhlbarg,Comedy Crime,Abbie Cornish Gabourey Sidibe Michael Stuhlbarg Martin McDonagh Comedy Crime
Kasi Lemmons,the caveman's valentine,Colm Feore,Tamara Tunie,Aunjanue Ellis,Crime Drama Music Mystery Thriller,Colm Feore Tamara Tunie Aunjanue Ellis Kasi Lemmons Crime Drama Music Mystery Thriller
unknown,the border            ,Jacek Koman,Marian Dziedziel,Jaroslaw Boberek,Action Crime Drama Thriller,Jacek Koman Marian Dziedziel Jaroslaw Boberek unknown Action Crime Drama Thriller
Oliver Hirschbiegel,downfall,Thomas Kretschmann,Bruno Ganz,Alexandra Maria Lara,Biography Drama History War,Thomas Kretschmann Bruno Ganz Alexandra Maria Lara Oliver Hirschbiegel Biography Drama History War
Alejandro Amenábar,the sea inside,Belén Rueda,Lola Dueñas,Tamar Novas,Biography Drama Romance,Belén Rueda Lola Dueñas Tamar Novas Alejandro Amenábar Biography Drama Romance
Jonathan Glazer,under the skin,Scarlett Johansson,Paul Brannigan,Alison Chand,Drama Horror Sci-Fi Thriller,Scarlett Johansson Paul Brannigan Alison Chand Jonathan Glazer Drama Horror Sci-Fi Thriller
Barry Levinson,"good morning, vietnam",Robin Williams,J.T. Walsh,Bruno Kirby,Biography Comedy Drama War,Robin Williams J.T. Walsh Bruno Kirby Barry Levinson Biography Comedy Drama War
Hyung-rae Shim,the last godfather,Jason Mewes,Stephanie Danielson,Michael Rispoli,Comedy,Jason Mewes Stephanie Danielson Michael Rispoli Hyung-rae Shim Comedy
Jon M. Chu,justin bieber: never say never,Usher Raymond,Sean Kingston,Boys II Men,Documentary Music,Usher Raymond Sean Kingston Boys II Men Jon M. Chu Documentary Music
Darren Aronofsky,black swan,Natalie Portman,Mila Kunis,Mark Margolis,Drama Thriller,Natalie Portman Mila Kunis Mark Margolis Darren Aronofsky Drama Thriller
José Padilha,robocop,Gary Oldman,Abbie Cornish,Jennifer Ehle,Action Crime Sci-Fi Thriller,Gary Oldman Abbie Cornish Jennifer Ehle José Padilha Action Crime Sci-Fi Thriller
Francis Ford Coppola,the godfather: part ii,Robert De Niro,Al Pacino,Robert Duvall,Crime Drama,Robert De Niro Al Pacino Robert Duvall Francis Ford Coppola Crime Drama
Thomas Carter,save the last dance,Sean Patrick Thomas,Terry Kinney,Fredro Starr,Drama Music Romance,Sean Patrick Thomas Terry Kinney Fredro Starr Thomas Carter Drama Music Romance
Renny Harlin,a nightmare on elm street 4: the dream master,Tuesday Knight,Rodney Eastman,Brooke Bundy,Fantasy Horror Thriller,Tuesday Knight Rodney Eastman Brooke Bundy Renny Harlin Fantasy Horror Thriller
Patricia Riggen,miracles from heaven,Jennifer Garner,Brighton Sharbino,Martin Henderson,Drama,Jennifer Garner Brighton Sharbino Martin Henderson Patricia Riggen Drama
Danny Leiner,"dude, where's my car?",Jennifer Garner,Mary Lynn Rajskub,Marla Sokoloff,Comedy Mystery,Jennifer Garner Mary Lynn Rajskub Marla Sokoloff Danny Leiner Comedy Mystery
Christopher Cain,young guns,Jack Palance,Patrick Wayne,Brian Keith,Action Crime Drama Thriller Western,Jack Palance Patrick Wayne Brian Keith Christopher Cain Action Crime Drama Thriller Western
Theodore Melfi,st. vincent,Bill Murray,Naomi Watts,Reg E. Cathey,Comedy Drama,Bill Murray Naomi Watts Reg E. Cathey Theodore Melfi Comedy Drama
Steve Pink,about last night,Joe Lo Truglio,Regina Hall,Bryan Callen,Comedy Romance,Joe Lo Truglio Regina Hall Bryan Callen Steve Pink Comedy Romance
Gil Junger,10 things i hate about you,Joseph Gordon-Levitt,Heath Ledger,Andrew Keegan,Comedy Drama Romance,Joseph Gordon-Levitt Heath Ledger Andrew Keegan Gil Junger Comedy Drama Romance
Ed Decter,the new guy,Zooey Deschanel,Eddie Griffin,Gene Simmons,Comedy,Zooey Deschanel Eddie Griffin Gene Simmons Ed Decter Comedy
Gene Quintano,loaded weapon 1,Jon Lovitz,Lin Shaye,Bill Nunn,Action Comedy Crime,Jon Lovitz Lin Shaye Bill Nunn Gene Quintano Action Comedy Crime
Jaume Collet-Serra,the shallows,Óscar Jaenada,Brett Cullen,Sedona Legge,Drama Horror Thriller,Óscar Jaenada Brett Cullen Sedona Legge Jaume Collet-Serra Drama Horror Thriller
Eric Bress,the butterfly effect,Logan Lerman,Eric Stoltz,Cameron Bright,Sci-Fi Thriller,Logan Lerman Eric Stoltz Cameron Bright Eric Bress Sci-Fi Thriller
Chris Koch,snow day,Chris Elliott,Mark Webber,Jean Smart,Adventure Comedy Family,Chris Elliott Mark Webber Jean Smart Chris Koch Adventure Comedy Family
Preston A. Whitmore II,this christmas,Mekhi Phifer,Chris Brown,Loretta Devine,Comedy Drama Romance,Mekhi Phifer Chris Brown Loretta Devine Preston A. Whitmore II Comedy Drama Romance
Bob Clark,baby geniuses,Kathleen Turner,Dom DeLuise,Ruby Dee,Comedy Crime Family Sci-Fi,Kathleen Turner Dom DeLuise Ruby Dee Bob Clark Comedy Crime Family Sci-Fi
Kirk Wong,the big hit,Bokeem Woodbine,Elliott Gould,Antonio Sabato Jr.,Action Comedy Crime Thriller,Bokeem Woodbine Elliott Gould Antonio Sabato Jr. Kirk Wong Action Comedy Crime Thriller
Bronwen Hughes,harriet the spy,Gregory Smith,Eartha Kitt,Charlotte Sullivan,Comedy Drama Family,Gregory Smith Eartha Kitt Charlotte Sullivan Bronwen Hughes Comedy Drama Family
John Lafia,child's play 2,Jenny Agutter,Beth Grant,Greg Germann,Fantasy Horror,Jenny Agutter Beth Grant Greg Germann John Lafia Fantasy Horror
Sam Miller,no good deed,Leslie Bibb,Kate del Castillo,Henry Simmons,Crime Thriller,Leslie Bibb Kate del Castillo Henry Simmons Sam Miller Crime Thriller
Frank Darabont,the mist,Toby Jones,Alexa Davalos,Jeffrey DeMunn,Horror,Toby Jones Alexa Davalos Jeffrey DeMunn Frank Darabont Horror
Alex Garland,ex machina,Elina Alminas,Sonoya Mizuno,Corey Johnson,Drama Mystery Sci-Fi Thriller,Elina Alminas Sonoya Mizuno Corey Johnson Alex Garland Drama Mystery Sci-Fi Thriller
Spike Jonze,being john malkovich,Willie Garson,Orson Bean,Mary Kay Place,Comedy Drama Fantasy,Willie Garson Orson Bean Mary Kay Place Spike Jonze Comedy Drama Fantasy
Mark Brown,two can play that game,Mo'Nique,Vivica A. Fox,Tamala Jones,Comedy Romance,Mo'Nique Vivica A. Fox Tamala Jones Mark Brown Comedy Romance
Dave Green,earth to echo,Teo Halm,Ella Wahlestedt,Jason Gray-Stanford,Adventure Family Sci-Fi,Teo Halm Ella Wahlestedt Jason Gray-Stanford Dave Green Adventure Family Sci-Fi
John Stockwell,crazy/beautiful,Kirsten Dunst,Jay Hernandez,Rolando Molina,Drama Romance,Kirsten Dunst Jay Hernandez Rolando Molina John Stockwell Drama Romance
Clint Eastwood,letters from iwo jima,Yuki Matsuzaki,Kazunari Ninomiya,Shidô Nakamura,Drama History War,Yuki Matsuzaki Kazunari Ninomiya Shidô Nakamura Clint Eastwood Drama History War
Michael Polish,the astronaut farmer,J.K. Simmons,Virginia Madsen,Bruce Dern,Adventure Drama Sci-Fi,J.K. Simmons Virginia Madsen Bruce Dern Michael Polish Adventure Drama Sci-Fi
Daisy von Scherler Mayer,woo,LL Cool J,Jada Pinkett Smith,Dave Chappelle,Comedy Romance,LL Cool J Jada Pinkett Smith Dave Chappelle Daisy von Scherler Mayer Comedy Romance
Lenny Abrahamson,room,Joan Allen,Jacob Tremblay,Cas Anvar,Drama,Joan Allen Jacob Tremblay Cas Anvar Lenny Abrahamson Drama
Bob Saget,dirty work,Don Rickles,Jack Warden,Traylor Howard,Comedy,Don Rickles Jack Warden Traylor Howard Bob Saget Comedy
John Waters,serial mom,Kathleen Turner,Sam Waterston,Traci Lords,Comedy Crime Thriller,Kathleen Turner Sam Waterston Traci Lords John Waters Comedy Crime Thriller
Andrew Fleming,dick,Ryan Reynolds,Will Ferrell,Kirsten Dunst,Comedy,Ryan Reynolds Will Ferrell Kirsten Dunst Andrew Fleming Comedy
Niels Arden Oplev,del 1 - män som hatar kvinnor            ,Michael Nyqvist,David Dencik,Lena Endre,Action Crime Mystery Thriller,Michael Nyqvist David Dencik Lena Endre Niels Arden Oplev Action Crime Mystery Thriller
Craig Bolotin,light it up,Rosario Dawson,Vanessa Williams,Robert Ri'chard,Drama Thriller,Rosario Dawson Vanessa Williams Robert Ri'chard Craig Bolotin Drama Thriller
Mark Christopher,54,Salma Hayek,Ellen Albertini Dow,Sela Ward,Drama Music,Salma Hayek Ellen Albertini Dow Sela Ward Mark Christopher Drama Music
Blair Hayes,bubble boy,Jake Gyllenhaal,Geoffrey Arend,Marley Shelton,Adventure Comedy Romance Sci-Fi,Jake Gyllenhaal Geoffrey Arend Marley Shelton Blair Hayes Adventure Comedy Romance Sci-Fi
Jez Butterworth,birthday girl,Mark Gatiss,Mathieu Kassovitz,Ben Chaplin,Comedy Crime Thriller,Mark Gatiss Mathieu Kassovitz Ben Chaplin Jez Butterworth Comedy Crime Thriller
Jon Lucas,21 & over,Justin Chon,Josie Loren,Sarah Wright,Comedy,Justin Chon Josie Loren Sarah Wright Jon Lucas Comedy
Olivier Assayas,"paris, je t'aime",Steve Buscemi,Miranda Richardson,Catalina Sandino Moreno,Comedy Drama Romance,Steve Buscemi Miranda Richardson Catalina Sandino Moreno Olivier Assayas Comedy Drama Romance
Rod Lurie,resurrecting the champ,Harry Lennix,Kathryn Morris,Peter Coyote,Drama Sport,Harry Lennix Kathryn Morris Peter Coyote Rod Lurie Drama Sport
Paul Weitz,admission,Tina Fey,Sarita Choudhury,Christopher Evan Welch,Comedy Drama Romance,Tina Fey Sarita Choudhury Christopher Evan Welch Paul Weitz Comedy Drama Romance
Patrice Leconte,the widow of saint-pierre,Emir Kusturica,Daniel Auteuil,Yves Jacques,Drama Romance,Emir Kusturica Daniel Auteuil Yves Jacques Patrice Leconte Drama Romance
Atom Egoyan,chloe,Liam Neeson,Meghan Heffern,Natalie Lisinska,Drama Mystery Romance Thriller,Liam Neeson Meghan Heffern Natalie Lisinska Atom Egoyan Drama Mystery Romance Thriller
Paul Mazursky,faithful,Chazz Palminteri,Ryan O'Neal,Paul Mazursky,Comedy Crime Drama,Chazz Palminteri Ryan O'Neal Paul Mazursky Paul Mazursky Comedy Crime Drama
Jim Sheridan,brothers,Natalie Portman,Jake Gyllenhaal,Ethan Suplee,Drama Thriller,Natalie Portman Jake Gyllenhaal Ethan Suplee Jim Sheridan Drama Thriller
Sidney Lumet,find me guilty,Peter Dinklage,Vin Diesel,Alex Rocco,Biography Comedy Crime Drama,Peter Dinklage Vin Diesel Alex Rocco Sidney Lumet Biography Comedy Crime Drama
Stephen Chbosky,the perks of being a wallflower,Logan Lerman,Ezra Miller,Kate Walsh,Drama Romance,Logan Lerman Ezra Miller Kate Walsh Stephen Chbosky Drama Romance
Jon Hess,excessive force,Burt Young,Ian Gomez,Thomas Ian Griffith,Action,Burt Young Ian Gomez Thomas Ian Griffith Jon Hess Action
Douglas McGrath,infamous,Toby Jones,Isabella Rossellini,Hope Davis,Biography Crime Drama,Toby Jones Isabella Rossellini Hope Davis Douglas McGrath Biography Crime Drama
Mark Neveldine,the vatican tapes,Djimon Hounsou,Alison Lohman,Dougray Scott,Horror Thriller,Djimon Hounsou Alison Lohman Dougray Scott Mark Neveldine Horror Thriller
Joe Cornish,attack the block,John Boyega,Luke Treadaway,Jodie Whittaker,Action Comedy Sci-Fi Thriller,John Boyega Luke Treadaway Jodie Whittaker Joe Cornish Action Comedy Sci-Fi Thriller
Angelina Jolie Pitt,in the land of blood and honey,Jelena Jovanova,Nikola Djuricko,Branko Djuric,Drama Romance War,Jelena Jovanova Nikola Djuricko Branko Djuric Angelina Jolie Pitt Drama Romance War
Brad Anderson,the call,Michael Imperioli,Tara Platt,Roma Maffia,Crime Thriller,Michael Imperioli Tara Platt Roma Maffia Brad Anderson Crime Thriller
John H. Lee,operation chromite,Liam Neeson,Dean Dawson,Jung-jae Lee,Action Drama History War,Liam Neeson Dean Dawson Jung-jae Lee John H. Lee Action Drama History War
John Stainton,the crocodile hunter: collision course,Steve Irwin,Aden Young,Steve Bastoni,Action Adventure Comedy Family,Steve Irwin Aden Young Steve Bastoni John Stainton Action Adventure Comedy Family
Glenn Ficarra,i love you phillip morris,Dameon Clarke,Louis Herthum,Annie Golden,Biography Comedy Crime Drama Romance,Dameon Clarke Louis Herthum Annie Golden Glenn Ficarra Biography Comedy Crime Drama Romance
Jean-Jacques Annaud,quest for fire,Rae Dawn Chong,Everett McGill,Gary Schwartz,Adventure Drama History,Rae Dawn Chong Everett McGill Gary Schwartz Jean-Jacques Annaud Adventure Drama History
Denzel Washington,antwone fisher,Denzel Washington,Kevin Connolly,Derek Luke,Biography Drama,Denzel Washington Kevin Connolly Derek Luke Denzel Washington Biography Drama
Michael Hoffman,the emperor's club,Gabriel Millman,Embeth Davidtz,Rob Morrow,Drama,Gabriel Millman Embeth Davidtz Rob Morrow Michael Hoffman Drama
Tony Scott,true romance,Brad Pitt,Gary Oldman,Michael Rapaport,Action Crime Drama Romance Thriller,Brad Pitt Gary Oldman Michael Rapaport Tony Scott Action Crime Drama Romance Thriller
Benedek Fliegauf,womb,Eva Green,Matt Smith,Hannah Murray,Drama Romance Sci-Fi,Eva Green Matt Smith Hannah Murray Benedek Fliegauf Drama Romance Sci-Fi
James Foley,glengarry glen ross,Kevin Spacey,Al Pacino,Jude Ciccolella,Crime Drama Mystery,Kevin Spacey Al Pacino Jude Ciccolella James Foley Crime Drama Mystery
Michael Winterbottom,the killer inside me,Liam Aiken,Ned Beatty,Jay R. Ferguson,Crime Drama Thriller,Liam Aiken Ned Beatty Jay R. Ferguson Michael Winterbottom Crime Drama Thriller
Stewart Hendler,sorority row,Julian Morris,Margo Harshman,Rumer Willis,Horror Mystery,Julian Morris Margo Harshman Rumer Willis Stewart Hendler Horror Mystery
